epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.5320000052452087,0.4585021734237671,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
0,4,0.22401706874370575,0.0,0.22401706874370575,0.5180546045303345,,,,,,,,
1,9,,,,,0.5320000052452087,0.47614043951034546,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
1,9,0.22263579070568085,0.0,0.22263579070568085,0.5169962644577026,,,,,,,,
2,14,,,,,0.5320000052452087,0.4474870562553406,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
2,14,0.22147010266780853,0.0,0.22147010266780853,0.5138545632362366,,,,,,,,
3,19,,,,,0.5320000052452087,0.44451919198036194,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
3,19,0.21845491230487823,0.0,0.21845491230487823,0.5079982280731201,,,,,,,,
4,24,,,,,0.46799999475479126,0.4863748252391815,0.5,0.0,0.0,0.5,1.0,0.0
4,24,0.20029784739017487,0.0,0.20029784739017487,0.5009636878967285,,,,,,,,
