epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.5320000052452087,0.4838455021381378,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
0,4,0.22329914569854736,0.0,0.22329914569854736,0.5246865153312683,,,,,,,,
1,9,,,,,0.46799999475479126,0.5022790431976318,0.5,0.0,0.0,0.5,1.0,0.0
1,9,0.1982533484697342,0.0,0.1982533484697342,0.4989152252674103,,,,,,,,
2,14,,,,,0.46799999475479126,0.49438798427581787,0.5,0.0,0.0,0.5,1.0,0.0
2,14,0.17826786637306213,0.0,0.17826786637306213,0.47660887241363525,,,,,,,,
3,19,,,,,0.46799999475479126,0.5048895478248596,0.5,0.0,0.0,0.5,1.0,0.0
3,19,0.18786953389644623,0.0,0.18786953389644623,0.4943670928478241,,,,,,,,
4,24,,,,,0.46799999475479126,0.49014440178871155,0.5,0.0,0.0,0.5,1.0,0.0
4,24,0.18207289278507233,0.0,0.18207289278507233,0.4914783239364624,,,,,,,,
