epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.46799999475479126,0.5086575746536255,0.5,0.0,0.0,0.5,1.0,0.0
0,4,0.34860146045684814,0.0,0.34860146045684814,0.4740770161151886,,,,,,,,
1,9,,,,,0.46799999475479126,0.5023086667060852,0.5,0.0,0.0,0.5,1.0,0.0
1,9,0.3482641279697418,0.0,0.3482641279697418,0.47561636567115784,,,,,,,,
2,14,,,,,0.46790000796318054,0.4912538230419159,0.5,0.0,-0.010662390850484371,0.3499999940395355,1.0,9.999999747378752e-05
2,14,0.34806159138679504,0.0,0.34806159138679504,0.47997915744781494,,,,,,,,
3,19,,,,,0.4675999879837036,0.48544594645500183,0.5,0.026691041886806488,-0.011211569420993328,0.3499999940395355,1.0,0.014999999664723873
3,19,0.34748023748397827,0.0,0.34748023748397827,0.4872532784938812,,,,,,,,
4,24,,,,,0.46540001034736633,0.48523008823394775,0.5,0.23233774304389954,-0.03547545149922371,0.3499999940395355,1.0,0.16439999639987946
4,24,0.35841137170791626,0.0,0.35841137170791626,0.4944380819797516,,,,,,,,
