epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.528294563293457,0.500271201133728,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
0,,69,0.21868708729743958,0.0,0.21868708729743958,0.5068113207817078,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.47170543670654297,0.500251829624176,0.5,0.0,0.0,0.5,1.0,0.0
1,,139,0.19932399690151215,0.0,0.19932399690151215,0.5008544921875,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47170543670654297,0.5050351023674011,0.5,0.0,0.0,0.5,1.0,0.0
2,,209,0.1776740849018097,0.0,0.1776740849018097,0.49709752202033997,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.47170543670654297,0.500309944152832,0.5,0.0,0.0,0.5,1.0,0.0
3,,279,0.17703604698181152,0.0,0.17703604698181152,0.49687182903289795,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.47170543670654297,0.5098773241043091,0.5,0.0,0.0,0.5,1.0,0.0
4,,349,0.17765508592128754,0.0,0.17765508592128754,0.4972459673881531,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.47170543670654297,0.5048564076423645,0.5,0.0,0.0,0.5,1.0,0.0
5,,419,0.17718833684921265,0.0,0.17718833684921265,0.4971177279949188,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.47170543670654297,0.49837133288383484,0.5,0.0,0.0,0.5,1.0,0.0
6,,489,0.1772482544183731,0.0,0.1772482544183731,0.4968024492263794,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.47170543670654297,0.506549596786499,0.5,0.0,0.0,0.5,1.0,0.0
7,,559,0.17728807032108307,0.0,0.17728807032108307,0.49630892276763916,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
8,,629,,,,,0.48844683170318604,0.5054144263267517,0.5052834749221802,0.3607907295227051,0.003037209389731288,0.5,1.0,0.27199608087539673
8,,629,0.17798461019992828,0.0,0.17798461019992828,0.4958021938800812,,,,,,,,
,0.00010575175376711837,649,,,,,,,,,,,,
