epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.47223755717277527,0.4962522089481354,0.5,0.031619664281606674,-0.0032275840640068054,0.3499999940395355,1.0,0.016700435429811478
0,,69,0.18552738428115845,0.0,0.18552738428115845,0.4901878237724304,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.47186917066574097,0.49973806738853455,0.5001603960990906,0.00185665104072541,0.004111547488719225,0.5,1.0,0.0008186488412320614
1,,139,0.18374791741371155,0.0,0.18374791741371155,0.49085789918899536,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47170543670654297,0.5074676871299744,0.5000511407852173,0.000154936671606265,-0.0005128565244376659,0.5,1.0,8.186488412320614e-05
2,,209,0.1821705847978592,0.0,0.1821705847978592,0.49139535427093506,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.47174638509750366,0.510049045085907,0.5000364184379578,0.0002324050001334399,0.004018550738692284,0.5,1.0,8.186488412320614e-05
3,,279,0.18209731578826904,0.0,0.18209731578826904,0.49292606115341187,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.4717259109020233,0.5137587785720825,0.5000557899475098,7.747733616270125e-05,0.0042748479172587395,0.5,1.0,2.0466221030801535e-05
4,,349,0.18036077916622162,0.0,0.18036077916622162,0.4930024743080139,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.47170543670654297,0.5162811279296875,0.5,0.0,0.0,0.5,1.0,0.0
5,,419,0.1800035834312439,0.0,0.1800035834312439,0.49370765686035156,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.471766859292984,0.5118149518966675,0.500009298324585,0.0018562920158728957,0.00030646249069832265,0.5,1.0,0.0009209799463860691
6,,489,0.17919187247753143,0.0,0.17919187247753143,0.49375686049461365,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.47338369488716125,0.5137600302696228,0.5010470747947693,0.02744075283408165,0.008188511244952679,0.5,1.0,0.013180245645344257
7,,559,0.17863041162490845,0.0,0.17863041162490845,0.4937182068824768,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
