epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.47170543670654297,0.49834755063056946,0.5,0.0,0.0,0.5,1.0,0.0
0,,69,0.1962829828262329,0.0,0.1962829828262329,0.49913936853408813,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.47170543670654297,0.4958970546722412,0.5,0.0,0.0,0.5,1.0,0.0
1,,139,0.18298578262329102,0.0,0.18298578262329102,0.48863252997398376,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47170543670654297,0.5004918575286865,0.5,0.0,0.0,0.5,1.0,0.0
2,,209,0.18370556831359863,0.0,0.18370556831359863,0.49070245027542114,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.47170543670654297,0.5052628517150879,0.5,0.0,0.0,0.5,1.0,0.0
3,,279,0.1830119788646698,0.0,0.1830119788646698,0.49121445417404175,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.47170543670654297,0.49946004152297974,0.5,0.0,0.0,0.5,1.0,0.0
4,,349,0.18161329627037048,0.0,0.18161329627037048,0.49146121740341187,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.47170543670654297,0.5038946866989136,0.5,0.0,0.0,0.5,1.0,0.0
5,,419,0.1817418932914734,0.0,0.1817418932914734,0.4928751289844513,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.47170543670654297,0.5143746137619019,0.5053855180740356,0.0,0.0,0.5,1.0,0.0
6,,489,0.18017232418060303,0.0,0.18017232418060303,0.49264591932296753,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.4965718984603882,0.5054125785827637,0.5070234537124634,0.42851167917251587,0.010298219509422779,0.5,0.0,0.35261252522468567
7,,559,0.1802203506231308,0.0,0.1802203506231308,0.4910959005355835,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
8,,629,,,,,0.48807841539382935,0.4997144043445587,0.5,0.41581615805625916,-0.0069819907657802105,0.3499999940395355,1.0,0.3480076193809509
8,,629,0.18033036589622498,0.0,0.18033036589622498,0.4864124357700348,,,,,,,,
