epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.528294563293457,0.5140041708946228,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
0,,69,0.4500260055065155,0.0,0.4500260055065155,0.5305667519569397,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.5287243127822876,0.5118253231048584,0.5005500912666321,0.6913312077522278,0.013337928801774979,0.5,1.0,0.9985059499740601
1,,139,0.4443076252937317,0.0,0.4443076252937317,0.5225294232368469,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.5229119062423706,0.5097644925117493,0.5058971047401428,0.64109867811203,0.014747058041393757,0.5,1.0,0.8010069131851196
2,,209,0.4338071644306183,0.0,0.4338071644306183,0.5118399262428284,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.48607274889945984,0.5093920230865479,0.5053303837776184,0.26068010926246643,0.013233337551355362,0.5,1.0,0.16684062778949738
3,,279,0.39222991466522217,0.0,0.39222991466522217,0.49970316886901855,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.4754917025566101,0.5097000598907471,0.5029443502426147,0.08373256772756577,0.0062806205824017525,0.5,1.0,0.04414563626050949
4,,349,0.36275383830070496,0.0,0.36275383830070496,0.49340906739234924,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.4759010374546051,0.5105427503585815,0.5027437210083008,0.08777429163455963,0.00753282243385911,0.5,1.0,0.04623319208621979
5,,419,0.36012643575668335,0.0,0.36012643575668335,0.49305254220962524,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.4756554365158081,0.511766791343689,0.5012473464012146,0.08987566828727722,0.0058355797082185745,0.5,1.0,0.047829557210206985
6,,489,0.35852617025375366,0.0,0.35852617025375366,0.49286723136901855,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.47645360231399536,0.5136741995811462,0.5014055967330933,0.10876911878585815,0.005948762875050306,0.5,1.0,0.05914737656712532
7,,559,0.35871773958206177,0.0,0.35871773958206177,0.4930700957775116,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
