epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.4997237026691437,0.48947232961654663,0.5009309649467468,0.5317959189414978,-0.005127813667058945,0.550000011920929,0.0,0.5402058959007263
0,,69,0.18861888349056244,0.0,0.18861888349056244,0.49874505400657654,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.4810994565486908,0.4945429563522339,0.5015621185302734,0.3986528217792511,-0.02025247924029827,0.550000011920929,1.0,0.3346022367477417
1,,139,0.18033920228481293,0.0,0.18033920228481293,0.49582502245903015,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47432512044906616,0.4995114505290985,0.5005547404289246,0.28256192803382874,-0.022224152460694313,0.550000011920929,1.0,0.20441661775112152
2,,209,0.1778309941291809,0.0,0.1778309941291809,0.49519360065460205,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.4671414792537689,0.5024856925010681,0.5001526474952698,0.12028652429580688,-0.03352382034063339,0.550000011920929,1.0,0.07742371410131454
3,,279,0.1775101274251938,0.0,0.1775101274251938,0.4953261911869049,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.46912670135498047,0.505207896232605,0.5001526474952698,0.08365421742200851,-0.02488121949136257,0.550000011920929,1.0,0.05104275420308113
4,,349,0.1772879660129547,0.0,0.1772879660129547,0.4951619803905487,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.4677554666996002,0.5038903951644897,0.5002301335334778,0.10712078213691711,-0.03102291375398636,0.550000011920929,1.0,0.06780458986759186
5,,419,0.17757664620876312,0.0,0.17757664620876312,0.49548953771591187,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.4692290425300598,0.5027207136154175,0.5006469488143921,0.10417962074279785,-0.024965517222881317,0.550000011920929,1.0,0.06420253217220306
6,,489,0.17706933617591858,0.0,0.17706933617591858,0.4952699840068817,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.46986350417137146,0.5043311715126038,0.5008113384246826,0.14711402356624603,-0.024523843079805374,0.550000011920929,1.0,0.09328503161668777
7,,559,0.1779598593711853,0.0,0.1779598593711853,0.49565377831459045,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
