epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.4722171127796173,0.4894695281982422,0.5003789067268372,0.005783020984381437,0.007274593226611614,0.5,1.0,0.002558277454227209
0,,69,0.34947219491004944,0.0,0.34947219491004944,0.47284507751464844,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.47420233488082886,0.48732873797416687,0.5009874701499939,0.052656810730695724,0.006112564355134964,0.5,1.0,0.026728883385658264
1,,139,0.34971585869789124,0.0,0.34971585869789124,0.4833606779575348,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47391581535339355,0.48707082867622375,0.5002562403678894,0.06612170487642288,0.0012396301608532667,0.5,1.0,0.03503816947340965
2,,209,0.35548797249794006,0.0,0.35548797249794006,0.49078676104545593,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.47240129113197327,0.4912149906158447,0.5,0.031483639031648636,-0.0018526726635172963,0.3499999940395355,1.0,0.016454841941595078
3,,279,0.355541855096817,0.0,0.355541855096817,0.49161404371261597,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.47186917066574097,0.49674519896507263,0.5,0.023979727178812027,-0.00499886367470026,0.3499999940395355,1.0,0.012811854481697083
4,,349,0.35461029410362244,0.0,0.35461029410362244,0.49159470200538635,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.471111923456192,0.5033258199691772,0.5,0.04331408441066742,-0.012832222506403923,0.3499999940395355,1.0,0.024538997560739517
5,,419,0.35590770840644836,0.0,0.35590770840644836,0.49218398332595825,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.47301527857780457,0.512876033782959,0.5,0.0826534628868103,-0.006218870170414448,0.3499999940395355,1.0,0.04617179185152054
6,,489,0.35586392879486084,0.0,0.35586392879486084,0.4912855923175812,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.477251797914505,0.5203434824943542,0.5,0.18458689749240875,-0.0026479633525013924,0.3499999940395355,1.0,0.1127893403172493
7,,559,0.35851922631263733,0.0,0.35851922631263733,0.4901948571205139,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
