epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.47170543670654297,0.4957396686077118,0.5,0.0,0.0,0.5,1.0,0.0
0,,69,0.4905047118663788,0.12249992042779922,0.5272547602653503,0.0,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.47170543670654297,0.5120751857757568,0.5,0.0,0.0,0.5,1.0,0.0
1,,139,0.4903346002101898,0.1224656030535698,0.5270742774009705,4.917940532322973e-05,,,,,,,,
