epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.528294563293457,0.5,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
0,,69,0.4910981357097626,0.03752188757061958,0.528620183467865,0.8093103766441345,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.528294563293457,0.5008019804954529,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
1,,139,0.4910126328468323,0.03382638469338417,0.524838924407959,0.5984009504318237,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.528294563293457,0.5044291615486145,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
2,,209,0.49186447262763977,0.027718117460608482,0.5195825099945068,0.5340883731842041,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.528294563293457,0.503129780292511,0.5,0.6913517713546753,0.0,0.5,1.0,1.0
3,,279,0.4939939081668854,0.018772220239043236,0.5127658247947693,0.5226927995681763,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.5013610124588013,0.5016534924507141,0.5006900429725647,0.5293617844581604,-0.0008121192804537714,0.5,0.0,0.5312007665634155
4,,349,0.4980756342411041,0.010037538595497608,0.5081130266189575,0.4979695975780487,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.5289903879165649,0.5043243765830994,0.5025547742843628,0.6850675940513611,0.014340701512992382,0.5,1.0,0.9672949910163879
5,,419,0.49949386715888977,0.0062871831469237804,0.5057811141014099,0.4862297773361206,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.5176520943641663,0.5021325349807739,0.502417802810669,0.6282884478569031,0.005730430595576763,0.5,1.0,0.7693457007408142
6,,489,0.4961112141609192,0.005385888274759054,0.5014971494674683,0.4900868237018585,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.527660071849823,0.5008567571640015,0.5118449926376343,0.640799343585968,0.027963919565081596,0.5,1.0,0.7866805791854858
7,,559,0.48513755202293396,0.0031790011562407017,0.48831677436828613,0.48898380994796753,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
