epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.47113239765167236,0.49949657917022705,0.5,0.0005414813640527427,-0.021248025819659233,0.3499999940395355,1.0,0.0008595812832936645
0,,69,0.49058136343955994,0.11949847638607025,0.5264310836791992,0.004334813449531794,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.4720942974090576,0.5019333362579346,0.5000496506690979,0.011951275169849396,0.0006423831218853593,0.5,1.0,0.005996602587401867
1,,139,0.4903606176376343,0.10377350449562073,0.5214928984642029,0.028200875967741013,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.47948262095451355,0.5076008439064026,0.5043304562568665,0.11694038659334183,0.018043817952275276,0.5,1.0,0.06115306541323662
2,,209,0.4901866316795349,0.05711251124739647,0.5073199272155762,0.11515709012746811,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.4993962347507477,0.5197955965995789,0.5120466351509094,0.37846216559410095,0.026871806010603905,0.5,1.0,0.2771330773830414
3,,279,0.490061491727829,0.0071706282906234264,0.49221253395080566,0.2823460102081299,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.5214588046073914,0.5221144556999207,0.5202863216400146,0.5443171262741089,0.04054637625813484,0.5,0.0,0.5218681693077087
4,,349,0.48985472321510315,5.4886056810588e-10,0.48985472321510315,0.4346124529838562,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.5219091176986694,0.5202276706695557,0.5183840394020081,0.5620383024215698,0.03700719401240349,0.5,0.0,0.563332736492157
5,,419,0.48960426449775696,0.0,0.48960426449775696,0.5082340240478516,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.5240784883499146,0.520866334438324,0.5220197439193726,0.5535117983818054,0.044093936681747437,0.5,0.0,0.5376271605491638
6,,489,0.4892370104789734,0.0,0.4892370104789734,0.5415847301483154,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.5222160816192627,0.5191126465797424,0.5200804471969604,0.5522888898849487,0.0402182973921299,0.5,0.0,0.5388755798339844
7,,559,0.4887799024581909,0.0,0.4887799024581909,0.5484206676483154,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
