epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
,1.2604809722844429e-05,49,,,,,,,,,,,,
0,,69,,,,,0.5294815897941589,0.5178638100624084,0.5084921717643738,0.6638397574424744,0.025326641276478767,0.5,1.0,0.8713902831077576
0,,69,0.4900437593460083,0.000488925026729703,0.49019041657447815,0.4591319262981415,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
,1.446353663957944e-05,99,,,,,,,,,,,,
1,,139,,,,,0.5291541218757629,0.518552303314209,0.5043085217475891,0.679171085357666,0.018014544621109962,0.5,1.0,0.9392971992492676
1,,139,0.4893840551376343,0.0,0.4893840551376343,0.49252474308013916,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,1.756017594730058e-05,149,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
,2.1867643684190217e-05,199,,,,,,,,,,,,
2,,209,,,,,0.5267186760902405,0.5187793374061584,0.506920576095581,0.6566801071166992,0.019363602623343468,0.5,1.0,0.8502486348152161
2,,209,0.4889069199562073,0.0,0.4889069199562073,0.4992552697658539,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
,2.7348265687995974e-05,249,,,,,,,,,,,,
3,,279,,,,,0.5209676623344421,0.518641471862793,0.5129453539848328,0.5908471345901489,0.0269676111638546,0.5,0.0,0.6424960494041443
3,,279,0.4882318377494812,0.0,0.4882318377494812,0.5009765625,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,3.3954107103432345e-05,299,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
,4.162739163210297e-05,349,,,,,,,,,,,,
4,,349,,,,,0.5017908215522766,0.5175421237945557,0.508598804473877,0.4515983760356903,0.01768537238240242,0.5,0.0,0.3801805078983307
4,,349,0.48715490102767944,5.115564363222802e-07,0.4871550500392914,0.5158357620239258,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
,5.030100685808294e-05,399,,,,,,,,,,,,
5,,419,,,,,0.4960397779941559,0.5104100108146667,0.5133780837059021,0.3026338219642639,0.03375335410237312,0.5,1.0,0.1943676918745041
5,,419,0.4850715696811676,0.0,0.4850715696811676,0.5011100769042969,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
,5.989909122945851e-05,449,,,,,,,,,,,,
6,,489,,,,,0.4730767011642456,0.5027557015419006,0.503948450088501,0.031376976519823074,0.003891299944370985,0.4000000059604645,1.0,0.01569759100675583
6,,489,0.48258790373802185,0.0004579548549372703,0.4827252924442291,0.5132362842559814,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,7.033769756194266e-05,499,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
,8.152552726140071e-05,549,,,,,,,,,,,,
7,,559,,,,,0.47127565741539,0.4963042140007019,0.5027121901512146,0.039556846022605896,-0.011463033966720104,0.3499999940395355,1.0,0.02220585010945797
7,,559,0.47802433371543884,1.3429385035124142e-05,0.4780283272266388,0.4923631548881531,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
,9.336472884359756e-05,599,,,,,,,,,,,,
