epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.5320000052452087,0.4595021605491638,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
0,4,0.49113184213638306,0.11887095123529434,0.5267930626869202,0.9947574138641357,,,,,,,,
1,9,,,,,0.5320000052452087,0.46304380893707275,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
1,9,0.4905400574207306,0.10515953600406647,0.5220878720283508,0.9736841917037964,,,,,,,,
2,14,,,,,0.46799999475479126,0.45782485604286194,0.5,0.0,0.0,0.5,1.0,0.0
2,14,0.4901389181613922,0.018880121409893036,0.49580293893814087,0.6900699138641357,,,,,,,,
3,19,,,,,0.46799999475479126,0.4678090512752533,0.5,0.0,0.0,0.5,1.0,0.0
3,19,0.49054646492004395,0.04526832327246666,0.5041268467903137,0.15409128367900848,,,,,,,,
4,24,,,,,0.47699999809265137,0.4590466022491455,0.5,0.5370861887931824,-0.05979360267519951,0.3499999940395355,0.0,0.5978000164031982
4,24,0.49015551805496216,0.028288360685110092,0.49864205718040466,0.21052631735801697,,,,,,,,
