symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,244.0,CALL,0,1,2026-03-18T14:58:27.223,29,2.62,6,2.72,0.936,-2.5629,0.334,86.4796,0.0721,-0.2918,809.3769,0.6499,2026-03-18T14:58:27.478,2026-03-18T14:54:38.104,5.0,5.1,2.7,2.7,317.0,75.0,2026-03-18T14:54:38.104,2.7,346,2026-03-18 14:58:16 EDT,246.62,0.989376368502149,-1.0623631497850963,247.0,2.67,0.10000000000000009,3.745318352059929,92,6.6331999999999995,30.728,235.7868,86.11200000000001,0.0187,-0.06,0.0
IWM,2026-03-18,244.0,PUT,0,-1,2026-03-18T14:58:27.301,929,0.04,311,0.05,-0.0566,-2.2214,0.304,-345.7885,0.0682,-0.2873,766.2635,0.625,2026-03-18T14:58:27.478,2026-03-18T14:58:17.276,0.36,0.43,0.03,0.05,22616.0,2780.0,2026-03-18T14:58:17.276,0.05,346,2026-03-18 14:58:16 EDT,246.62,0.989376368502149,-1.0623631497850963,247.0,0.045,0.010000000000000002,22.222222222222225,10503,-716.3045999999999,-3192.912,23331.3642,-594.4698,-0.0124,0.0,0.0
IWM,2026-03-18,245.0,CALL,0,1,2026-03-18T14:58:27.408,1,1.73,46,1.8,0.8397,-4.7024,0.65,117.6597,0.1482,-0.3903,1024.9839,0.6156,2026-03-18T14:58:27.478,2026-03-18T14:57:48.526,4.16,4.35,1.7,1.77,542.0,163.0,2026-03-18T14:57:48.526,1.77,346,2026-03-18 14:58:16 EDT,246.62,0.9934311896845349,-0.6568810315465106,247.0,1.7650000000000001,0.07000000000000006,3.966005665722383,174,25.7868,113.10000000000001,818.2176,146.1078,0.0157,-0.04,-0.02
IWM,2026-03-18,245.0,PUT,0,-1,2026-03-18T14:58:27.332,29,0.12,2024,0.13,-0.1477,-4.2077,0.6159,-305.5645,0.148,-0.4107,1023.5494,0.5843,2026-03-18T14:58:27.478,2026-03-18T14:58:27.495,0.52,0.64,0.06,0.12,32521.0,5565.0,2026-03-18T14:58:27.495,0.12,346,2026-03-18 14:58:16 EDT,246.62,0.9934311896845349,-0.6568810315465106,247.0,0.125,0.010000000000000009,8.000000000000007,4247,-628.5559999999999,-2615.7273,17870.1019,-627.2819,0.0,0.01,0.0
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T14:58:27.393,1,0.94,4,0.96,0.6643,-6.3127,0.9729,172.4422,0.247,-0.2757,649.0421,0.5531,2026-03-18T14:58:27.478,2026-03-18T14:58:07.249,3.34,3.5,0.9,0.94,4338.0,497.0,2026-03-18T14:58:07.249,0.94,346,2026-03-18 14:58:16 EDT,246.62,0.9974860108669208,-0.25139891330792496,247.0,0.95,0.020000000000000018,2.105263157894739,243,60.021,236.4147,1533.9861,161.4249,0.0,-0.06,0.0
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T14:58:27.401,12,0.32,172,0.33,-0.333,-6.1623,0.97,-256.7425,0.2504,-0.2844,658.3182,0.5437,2026-03-18T14:58:27.478,2026-03-18T14:58:25.661,0.8,0.95,0.12,0.32,43096.0,7174.0,2026-03-18T14:58:27.793,0.32,346,2026-03-18 14:58:16 EDT,246.62,0.9974860108669208,-0.25139891330792496,247.0,0.325,0.010000000000000009,3.0769230769230793,1601,-400.8904,-1552.97,9865.8423,-533.133,0.0,0.02,0.0
IWM,2026-03-18,247.0,CALL,0,1,2026-03-18T14:58:27.393,48,0.39,4,0.4,0.3964,-6.4399,1.0285,244.5171,0.2702,0.1935,-444.2102,0.5343,2026-03-18T14:58:27.478,2026-03-18T14:58:25.416,2.68,2.84,0.38,0.39,11552.0,1666.0,2026-03-18T14:58:25.416,0.39,346,2026-03-18 14:58:16 EDT,246.62,1.0015408320493067,0.15408320493066072,247.0,0.395,0.010000000000000009,2.531645569620255,370,99.974,380.545,2382.763,146.66799999999998,0.0,-0.045,-0.01
IWM,2026-03-18,247.0,PUT,0,-1,2026-03-18T14:58:27.4,8,0.77,53,0.78,-0.6054,-6.2944,1.0272,-194.1303,0.2747,0.2002,-451.4061,0.525,2026-03-18T14:58:27.478,2026-03-18T14:58:23.481,1.09,1.37,0.23,0.8,45980.0,9024.0,2026-03-18T14:58:27.755,0.77,346,2026-03-18 14:58:16 EDT,246.62,1.0015408320493067,0.15408320493066072,247.0,0.775,0.010000000000000009,1.2903225806451624,3290,-903.763,-3379.488,20708.576,-1991.766,-0.0093,0.035,-0.01
IWM,2026-03-18,248.0,CALL,0,1,2026-03-18T14:58:26.946,25,0.12,43,0.13,0.1624,-4.0074,0.6557,336.067,0.1764,0.4662,-1040.3902,0.5218,2026-03-18T14:58:27.478,2026-03-18T14:58:26.721,1.82,2.14,0.11,0.13,29230.0,4968.0,2026-03-18T14:58:26.721,0.13,346,2026-03-18 14:58:16 EDT,246.62,1.0055956532316925,0.5595653231692463,247.0,0.125,0.010000000000000009,8.000000000000007,642,113.2488,420.95939999999996,2572.7508,104.26079999999999,0.0031,-0.01,0.0
IWM,2026-03-18,248.0,PUT,0,-1,2026-03-18T14:58:27.403,1,1.48,5,1.52,-0.8361,-4.03,0.6595,-137.4534,0.1763,0.4633,-1040.371,0.525,2026-03-18T14:58:27.478,2026-03-18T14:58:05.971,1.45,1.89,0.47,1.48,34113.0,7556.0,2026-03-18T14:58:05.971,1.48,346,2026-03-18 14:58:16 EDT,246.62,1.0055956532316925,0.5595653231692463,247.0,1.5,0.040000000000000036,2.6666666666666687,8633,-1521.9979,-5693.4635,34790.990000000005,-7218.051299999999,-0.0093,0.055,-0.01
IWM,2026-03-19,237.0,PUT,1,-1,2026-03-18T14:58:27.945,17,0.14,129,0.15,-0.0533,-0.3206,1.4324,-93.6181,0.0175,-0.368,30.0357,0.4687,2026-03-18T14:58:28.164,2026-03-18T14:53:42.593,0.19,0.23,0.08,0.16,503.0,94.0,2026-03-18T14:53:42.593,0.16,346,2026-03-18 14:58:16 EDT,246.67,0.9607978270563912,-3.9202172943608824,247.0,0.14500000000000002,0.009999999999999981,6.896551724137917,719,-12.582500000000001,-1029.8955999999998,230.5114,-38.3227,0.0,0.0,0.0
IWM,2026-03-19,238.0,CALL,1,1,2026-03-18T14:58:27.99,9,8.8,13,8.93,0.9332,-0.3914,1.7071,25.95,0.0217,-0.4236,33.2556,0.4511,2026-03-18T14:58:28.164,2026-03-18T14:42:42.389,10.11,10.11,10.11,10.11,1.0,1.0,2026-03-18T14:42:42.389,10.11,346,2026-03-18 14:58:16 EDT,246.67,0.9648518263266713,-3.514817367332869,247.0,8.865,0.129999999999999,1.4664410603496785,9,0.1953,15.363900000000001,3.5226,8.3988,-0.0059,-0.04,-0.0
IWM,2026-03-19,238.0,PUT,1,-1,2026-03-18T14:58:28.016,20,0.18,84,0.19,-0.0676,-0.3728,1.7235,-93.0368,0.0218,-0.4239,33.4267,0.4531,2026-03-18T14:58:28.164,2026-03-18T14:57:00.899,0.3,0.3,0.09,0.21,954.0,122.0,2026-03-18T14:57:00.899,0.21,346,2026-03-18 14:58:16 EDT,246.67,0.9648518263266713,-3.514817367332869,247.0,0.185,0.010000000000000009,5.405405405405411,1554,-33.8772,-2678.319,579.3312000000001,-105.0504,-0.001,0.0,0.0
IWM,2026-03-19,239.0,CALL,1,1,2026-03-18T14:58:28.04,23,7.86,13,7.99,0.9127,-0.4634,2.0916,28.3908,0.0273,-0.4806,36.8082,0.4404,2026-03-18T14:58:28.164,2026-03-18T13:45:57.197,9.91,9.91,9.91,9.91,1.0,1.0,2026-03-18T13:45:57.197,9.91,346,2026-03-18 14:58:16 EDT,246.67,0.9689058255969515,-3.109417440304856,247.0,7.925000000000001,0.1299999999999999,1.6403785488958975,7,0.19110000000000002,14.641200000000001,3.2438,6.3889,-0.0097,-0.045,0.01
IWM,2026-03-19,239.0,PUT,1,-1,2026-03-18T14:58:28.008,26,0.24,51,0.25,-0.0881,-0.445,2.1083,-90.7159,0.0274,-0.4802,36.9366,0.4423,2026-03-18T14:58:28.164,2026-03-18T14:57:12.338,0.38,0.38,0.14,0.26,4843.0,253.0,2026-03-18T14:57:12.338,0.26,346,2026-03-18 14:58:16 EDT,246.67,0.9689058255969515,-3.109417440304856,247.0,0.245,0.010000000000000009,4.081632653061228,1795,-49.183,-3784.3985,798.775,-158.1395,-0.001,0.005,-0.01
