batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
1,2026-04-01 09:30:09 EDT,all,IWM,250.22,263,325.0,591.0,1.818,35656836.46,94865.0,343769.0,-248904.0,0.3352,0.7115,0.3763,2.63,16.701,-0.1101,0.5496,1.0
1,2026-04-01 09:30:09 EDT,all,QQQ,580.99,665,2578.0,906.0,0.351,246830773.14,3523701.0,628746.0,2894956.0,0.5358,0.738,0.2022,4.57,13.981,-0.093,-0.1185,1.0
1,2026-04-01 09:30:09 EDT,all,SPXW,6565.05,1031,1209.0,3210.0,2.655,309147062.53,10908670.0,14650962.0,-3742292.0,0.2601,0.4955,0.2354,41.7,18.017,-0.2065,0.3177,1.0
1,2026-04-01 09:30:09 EDT,all,SPY,654.13,635,1135.0,1879.0,1.656,111189583.01,1615044.0,2698611.0,-1083566.0,0.6604,0.5561,-0.1043,4.24,12.569,-0.1544,0.3807,1.0
1,2026-04-01 09:30:09 EDT,all,TLT,86.28,135,9377.0,432.0,0.046,107539454.12,2674912.0,105710.0,2569201.0,0.2861,0.6202,0.3341,0.4,4.426,-0.0444,1.8258,1.0
1,2026-04-01 09:30:09 EDT,all,VIXW,25.01,208,757.0,491.0,0.649,339093.58,283823.0,910185.0,-626362.0,3.0534,1.8226,-1.2309,1.92,61.109,0.0851,-0.137,1.0
2,2026-04-01 09:31:04 EDT,all,IWM,250.38,296,238.0,511.0,2.147,38561416.44,120752.0,332243.0,-211491.0,0.3922,0.6391,0.2469,2.66,8.877,-0.1681,0.5409,1.0
2,2026-04-01 09:31:04 EDT,all,QQQ,581.25,629,1206.0,3303.0,2.739,260822462.88,1308077.0,7344924.0,-6036848.0,0.4217,0.6592,0.2375,4.46,13.954,-0.3337,0.7758,1.0
2,2026-04-01 09:31:04 EDT,all,SPXW,6566.98,1068,1286.0,2780.0,2.162,322499797.49,15089432.0,12175150.0,2914282.0,0.2982,0.4844,0.1862,41.6,14.226,-0.0893,0.426,1.0
2,2026-04-01 09:31:04 EDT,all,SPY,654.13,769,1776.0,2539.0,1.43,140690391.45,1913226.0,2872701.0,-959475.0,0.5582,0.7822,0.224,4.22,13.157,-0.0916,0.1381,1.0
2,2026-04-01 09:31:04 EDT,all,TLT,86.28,152,11576.0,629.0,0.054,99758906.64,4564562.0,169778.0,4394784.0,0.6058,0.6114,0.0056,0.4,4.998,0.0088,1.8108,1.0
2,2026-04-01 09:31:04 EDT,all,VIXW,25.01,222,817.0,496.0,0.607,1421251.77,285567.0,912181.0,-626614.0,2.9115,1.7972,-1.1143,1.92,50.805,0.0767,-0.0635,1.0
3,2026-04-01 09:31:51 EDT,all,IWM,250.55,305,569.0,488.0,0.858,45577132.85,193768.0,305756.0,-111988.0,0.4545,0.6097,0.1552,2.49,16.634,-0.0425,0.1469,1.0
3,2026-04-01 09:31:51 EDT,all,QQQ,581.58,609,1828.0,3601.0,1.97,258808293.71,970865.0,7599352.0,-6628487.0,0.2962,0.8195,0.5233,4.39,18.606,-0.4138,0.6759,1.0
3,2026-04-01 09:31:51 EDT,all,SPXW,6561.14,1090,1375.0,2991.0,2.175,304587499.32,28209065.0,7606392.0,20602672.0,0.6052,0.3873,-0.2178,41.8,13.978,-0.2158,0.3543,1.0
3,2026-04-01 09:31:51 EDT,all,SPY,653.79,732,1348.0,2218.0,1.645,115136362.51,1444142.0,2920066.0,-1475924.0,0.4904,0.8467,0.3563,4.2,12.799,-0.1349,0.2432,1.0
3,2026-04-01 09:31:51 EDT,all,TLT,86.29,141,16129.0,201.0,0.012,102910575.26,5699826.0,57618.0,5642208.0,0.5295,0.4135,-0.1159,0.39,3.549,-0.0312,1.92,1.0
3,2026-04-01 09:31:51 EDT,all,VIXW,24.8,234,1822.0,383.0,0.21,-683528.67,376670.0,908294.0,-531624.0,2.9859,1.7601,-1.2258,1.92,43.848,0.465,-0.2896,1.0
4,2026-04-01 09:32:41 EDT,all,IWM,250.7,306,468.0,760.0,1.624,50414572.68,468696.0,481916.0,-13220.0,0.5386,0.6173,0.0787,2.48,9.205,-0.0487,0.3728,1.0
4,2026-04-01 09:32:41 EDT,all,QQQ,582.25,591,1645.0,1436.0,0.873,268353968.73,813430.0,891663.0,-78233.0,0.2994,0.84,0.5406,4.52,19.962,-0.0601,0.0141,1.0
4,2026-04-01 09:32:41 EDT,all,SPXW,6572.2,1107,1296.0,3002.0,2.316,337533045.72,20150772.0,11528438.0,8622335.0,0.4242,0.4858,0.0616,41.85,11.58,0.0473,0.282,1.0
4,2026-04-01 09:32:41 EDT,all,SPY,654.8,704,1416.0,1664.0,1.175,172167267.33,883140.0,1658280.0,-775140.0,0.3156,0.8695,0.5539,4.2,20.334,-0.078,0.2715,1.0
4,2026-04-01 09:32:41 EDT,all,TLT,86.33,132,6504.0,361.0,0.056,109409895.58,2115560.0,96348.0,2019212.0,0.2645,0.5798,0.3153,0.38,5.226,0.3857,1.786,1.0
4,2026-04-01 09:32:41 EDT,all,VIXW,24.61,232,900.0,525.0,0.583,-2934493.69,322640.0,965872.0,-643232.0,3.1609,1.7284,-1.4325,1.92,57.188,0.129,-0.1033,1.0
