batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
1,2026-03-18 09:31:13 EDT,0_2dte,IWM,248.43,122,4937.0,11754.0,2.381,-41107.6,704764.0,3060152.0,-2355388.0,0.4692,0.466,-0.0032,3.38,2.508,-0.0822,-0.4429,6.27
1,2026-03-18 09:31:13 EDT,0_2dte,QQQ,601.33,233,20434.0,19200.0,0.94,-6314.59,9922359.0,5198692.0,4723667.0,0.3499,0.3203,-0.0295,5.2,2.794,-0.1801,0.044,5.92
1,2026-03-18 09:31:13 EDT,0_2dte,SPXW,6689.49,407,28221.0,53497.0,1.896,-379.76,33962532.0,119214092.0,-85251560.0,0.2929,0.2877,-0.0052,51.25,2.118,0.2256,0.2386,2.59
1,2026-03-18 09:31:13 EDT,0_2dte,SPY,668.12,249,24881.0,79020.0,3.176,-19279.75,6276000.0,56425215.0,-50149214.0,0.2751,0.4754,0.2003,5.28,1.585,-0.1167,-1.0214,8.49
1,2026-03-18 09:31:13 EDT,0_2dte,TLT,87.36,30,4878.0,1252.0,0.257,2874.97,204950.0,139234.0,65716.0,0.1928,0.2029,0.0101,0.4,7.237,0.0061,1.3048,10.5
2,2026-03-18 09:31:49 EDT,0_2dte,IWM,248.73,117,7709.0,22821.0,2.96,-40923.74,887176.0,3894329.0,-3007153.0,0.4554,0.4553,-0.0,3.28,2.529,-0.3511,-0.13,8.47
2,2026-03-18 09:31:49 EDT,0_2dte,QQQ,601.34,222,25978.0,31109.0,1.198,-6670.34,10390966.0,9333906.0,1057061.0,0.3286,0.3207,-0.0079,5.05,2.232,0.1064,0.0414,6.13
2,2026-03-18 09:31:49 EDT,0_2dte,SPXW,6693.06,414,32058.0,57635.0,1.798,-368.04,39033720.0,120304202.0,-81270482.0,0.2898,0.3109,0.021,50.2,2.093,0.0019,0.3117,2.62
2,2026-03-18 09:31:49 EDT,0_2dte,SPY,668.29,257,35966.0,78109.0,2.172,-19028.96,8243666.0,57882240.0,-49638574.0,0.2858,0.4556,0.1698,5.19,1.482,-0.1602,-0.416,6.91
2,2026-03-18 09:31:49 EDT,0_2dte,TLT,87.35,32,5570.0,1261.0,0.226,3555.11,388435.0,140050.0,248386.0,0.2142,0.2002,-0.0139,0.4,7.149,0.1819,1.2296,10.0
3,2026-03-18 09:32:22 EDT,0_2dte,IWM,248.85,117,9607.0,27717.0,2.885,-40816.96,1065293.0,4343258.0,-3277964.0,0.4543,0.4566,0.0023,3.28,2.31,0.0065,0.4665,8.91
3,2026-03-18 09:32:22 EDT,0_2dte,QQQ,601.92,214,31168.0,36231.0,1.162,-5969.39,11904240.0,10465202.0,1439038.0,0.2995,0.327,0.0275,4.96,2.21,0.0255,0.1236,6.05
3,2026-03-18 09:32:22 EDT,0_2dte,SPXW,6695.57,401,34481.0,59026.0,1.712,-353.68,44580238.0,107112240.0,-62532002.0,0.2945,0.2787,-0.0159,49.4,2.377,-0.1503,0.3333,2.61
3,2026-03-18 09:32:22 EDT,0_2dte,SPY,668.84,259,43108.0,87294.0,2.025,-18421.9,9393128.0,58637966.0,-49244837.0,0.2634,0.5081,0.2447,5.01,1.629,-0.0485,-0.2559,6.71
3,2026-03-18 09:32:22 EDT,0_2dte,TLT,87.38,32,1693.0,1414.0,0.835,3499.91,232420.0,145952.0,86468.0,0.2201,0.1968,-0.0234,0.4,12.451,0.1334,0.2171,6.53
