batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
1,2026-03-18 09:31:13 EDT,0dte,IWM,248.43,28,3856.0,3559.0,0.923,-2158.66,253288.0,393504.0,-140216.0,0.6214,0.6218,0.0003,3.38,2.926,-0.1205,-0.4419,5.91
1,2026-03-18 09:31:13 EDT,0dte,QQQ,601.33,44,14170.0,11284.0,0.796,-1037.85,2181238.0,2154748.0,26490.0,0.4023,0.4005,-0.0018,5.2,1.92,-0.2023,-0.1066,6.13
1,2026-03-18 09:31:13 EDT,0dte,SPXW,6689.49,85,22278.0,43632.0,1.959,-185.64,19429722.0,82549912.0,-63120190.0,0.3642,0.3561,-0.0081,51.25,2.065,0.1884,0.4386,2.39
1,2026-03-18 09:31:13 EDT,0dte,SPY,668.12,44,17415.0,27685.0,1.59,-2693.34,2523474.0,4267215.0,-1743742.0,0.3663,0.3676,0.0013,5.28,1.776,0.0063,-0.6261,5.59
1,2026-03-18 09:31:13 EDT,0dte,TLT,87.36,9,2473.0,327.0,0.132,2592.14,108798.0,10704.0,98093.0,0.2172,0.2621,0.0448,0.4,8.593,0.1228,1.57,14.81
2,2026-03-18 09:31:49 EDT,0dte,IWM,248.73,26,6024.0,4744.0,0.788,-2002.47,407898.0,459544.0,-51645.0,0.6046,0.6115,0.0069,3.28,3.369,-0.103,-0.2897,6.04
2,2026-03-18 09:31:49 EDT,0dte,QQQ,601.34,43,18829.0,19698.0,1.046,-1045.61,2676116.0,3490912.0,-814796.0,0.3863,0.4133,0.027,5.05,1.926,0.1073,0.1243,6.14
2,2026-03-18 09:31:49 EDT,0dte,SPXW,6693.06,93,25527.0,47309.0,1.853,-174.6,22721710.0,83235978.0,-60514268.0,0.3555,0.4487,0.0931,50.2,2.086,-0.0057,0.2582,2.44
2,2026-03-18 09:31:49 EDT,0dte,SPY,668.29,44,25629.0,42246.0,1.648,-2558.56,3778998.0,6729648.0,-2950650.0,0.363,0.4163,0.0533,5.19,1.658,-0.19,-0.2029,5.87
2,2026-03-18 09:31:49 EDT,0dte,TLT,87.35,10,2656.0,340.0,0.128,2342.33,119162.0,10814.0,108348.0,0.2535,0.2554,0.002,0.4,11.568,0.0268,1.3123,11.18
3,2026-03-18 09:32:22 EDT,0dte,IWM,248.85,27,7751.0,5543.0,0.715,-1941.55,551276.0,595806.0,-44530.0,0.6037,0.6093,0.0056,3.28,2.799,0.2823,0.2771,6.08
3,2026-03-18 09:32:22 EDT,0dte,QQQ,601.92,41,22723.0,23646.0,1.041,-815.11,3682407.0,3934776.0,-252370.0,0.3873,0.3822,-0.0051,4.96,1.781,-0.0216,0.0594,6.06
3,2026-03-18 09:32:22 EDT,0dte,SPXW,6695.57,84,27454.0,48911.0,1.782,-165.4,26515115.0,77044585.0,-50529470.0,0.3651,0.3387,-0.0264,49.4,2.486,-0.093,0.2863,2.44
3,2026-03-18 09:32:22 EDT,0dte,SPY,668.84,43,31065.0,48929.0,1.575,-2385.82,5139201.0,6941828.0,-1802626.0,0.3483,0.3957,0.0474,5.01,1.78,-0.1191,-0.0351,5.84
3,2026-03-18 09:32:22 EDT,0dte,TLT,87.38,10,678.0,378.0,0.558,2449.1,22164.0,10519.0,11645.0,0.2511,0.2578,0.0066,0.4,24.236,-0.1617,0.3512,5.68
4,2026-03-18 09:32:55 EDT,0dte,IWM,248.58,27,9054.0,6180.0,0.683,-2051.66,568824.0,501410.0,67413.0,0.625,0.615,-0.01,3.31,3.163,-0.2398,-0.0026,6.22
4,2026-03-18 09:32:55 EDT,0dte,QQQ,601.56,45,27579.0,27967.0,1.014,-937.31,4121448.0,4852337.0,-730889.0,0.5134,0.3896,-0.1238,4.94,1.599,-0.1294,-0.1088,5.97
4,2026-03-18 09:32:55 EDT,0dte,SPXW,6697.82,84,32434.0,52029.0,1.604,-158.43,30677932.0,79381978.0,-48704045.0,0.3506,0.3436,-0.007,49.0,2.473,-0.0181,0.0523,2.48
4,2026-03-18 09:32:55 EDT,0dte,SPY,668.74,42,38501.0,54516.0,1.416,-2375.59,6075778.0,7857672.0,-1781894.0,0.3586,0.3545,-0.0041,4.99,1.659,-0.2151,0.0391,5.69
4,2026-03-18 09:32:55 EDT,0dte,TLT,87.35,10,688.0,381.0,0.554,2237.73,21719.0,10913.0,10806.0,0.2585,0.2535,-0.0051,0.4,24.229,-0.1423,-0.0837,5.57
5,2026-03-18 09:33:30 EDT,0dte,IWM,248.46,28,9658.0,7779.0,0.805,-2134.18,575060.0,758322.0,-183262.0,0.6243,0.6198,-0.0045,3.39,2.826,-0.0255,-0.2515,6.26
5,2026-03-18 09:33:30 EDT,0dte,QQQ,601.78,44,29593.0,31393.0,1.061,-896.58,4471057.0,5292366.0,-821309.0,0.414,0.4158,0.0018,4.94,1.432,0.1685,0.0505,5.92
5,2026-03-18 09:33:30 EDT,0dte,SPXW,6695.54,88,33919.0,54408.0,1.604,-162.36,30416928.0,86877775.0,-56460848.0,0.3467,0.3998,0.0531,49.45,2.296,0.104,0.0883,2.47
5,2026-03-18 09:33:30 EDT,0dte,SPY,668.55,42,45130.0,59579.0,1.32,-2472.64,6721886.0,9077933.0,-2356047.0,0.3507,0.3529,0.0023,4.99,1.621,-0.0011,0.1204,5.69
5,2026-03-18 09:33:30 EDT,0dte,TLT,87.34,10,690.0,381.0,0.552,2398.58,21448.0,11059.0,10388.0,0.2507,0.2539,0.0031,0.4,22.959,-0.0979,-0.0542,5.52
6,2026-03-18 09:34:07 EDT,0dte,IWM,248.47,28,10205.0,9122.0,0.894,-2117.1,624828.0,870616.0,-245788.0,0.6323,0.6267,-0.0056,3.44,2.874,-0.0435,-0.1914,6.26
6,2026-03-18 09:34:07 EDT,0dte,QQQ,601.86,42,34414.0,34429.0,1.0,-873.91,5353216.0,5642634.0,-289417.0,0.383,0.3901,0.0071,4.96,1.459,0.0687,0.0843,5.94
6,2026-03-18 09:34:07 EDT,0dte,SPXW,6697.34,85,35915.0,56655.0,1.577,-159.65,31821465.0,89521498.0,-57700032.0,0.3309,0.3572,0.0264,49.55,2.289,-0.1732,-0.0196,2.47
6,2026-03-18 09:34:07 EDT,0dte,SPY,668.57,42,51300.0,64063.0,1.249,-2446.13,7509292.0,9858710.0,-2349418.0,0.3539,0.3566,0.0027,5.03,1.692,0.2167,-0.1964,5.74
6,2026-03-18 09:34:07 EDT,0dte,TLT,87.33,9,621.0,382.0,0.615,2303.86,10326.0,11321.0,-995.0,0.2265,0.2546,0.0281,0.41,25.408,-0.2876,-0.1718,8.09
7,2026-03-18 09:34:40 EDT,0dte,IWM,248.3,28,11205.0,9959.0,0.889,-2207.67,641644.0,994384.0,-352740.0,0.6238,0.6271,0.0033,3.4,2.947,0.0502,0.02,6.28
7,2026-03-18 09:34:40 EDT,0dte,QQQ,601.69,44,38686.0,35954.0,0.929,-928.37,5802400.0,6122438.0,-320038.0,0.483,0.3918,-0.0912,4.97,1.427,-0.0016,0.1066,6.03
7,2026-03-18 09:34:40 EDT,0dte,SPXW,6695.91,86,36877.0,60566.0,1.642,-164.36,32231008.0,94923468.0,-62692460.0,0.3314,0.359,0.0276,49.5,2.183,0.0186,-0.1053,2.51
7,2026-03-18 09:34:40 EDT,0dte,SPY,668.67,43,55042.0,67190.0,1.221,-2427.15,8089273.0,10158148.0,-2068874.0,0.3467,0.3566,0.0099,5.02,1.666,-0.0115,0.2142,5.76
7,2026-03-18 09:34:40 EDT,0dte,TLT,87.33,10,726.0,382.0,0.526,2239.38,21666.0,11209.0,10457.0,0.2578,0.2523,-0.0055,0.41,23.439,-0.151,0.2494,5.54
8,2026-03-18 09:35:16 EDT,0dte,IWM,248.4,28,11753.0,11141.0,0.948,-2190.51,666732.0,1177398.0,-510666.0,0.6061,0.6222,0.0161,3.36,2.911,-0.3534,-0.3526,6.06
8,2026-03-18 09:35:16 EDT,0dte,QQQ,602.06,43,45348.0,40500.0,0.893,-800.7,6933830.0,6470699.0,463131.0,0.3824,0.4525,0.0701,4.96,1.381,0.0976,-0.0329,6.23
8,2026-03-18 09:35:16 EDT,0dte,SPXW,6698.4,89,39638.0,63247.0,1.596,-157.83,36481610.0,93725990.0,-57244380.0,0.3305,0.3808,0.0502,49.1,2.04,0.2173,-0.1588,2.53
8,2026-03-18 09:35:16 EDT,0dte,SPY,668.89,44,62350.0,71382.0,1.145,-2112.12,9176943.0,10340306.0,-1163362.0,0.3464,0.4009,0.0545,4.98,1.694,-0.2085,0.1369,5.75
8,2026-03-18 09:35:16 EDT,0dte,TLT,87.33,10,731.0,383.0,0.524,2249.03,21768.0,11211.0,10557.0,0.2562,0.2523,-0.0039,0.41,23.11,-0.147,0.221,5.51
9,2026-03-18 09:35:48 EDT,0dte,IWM,248.37,28,12110.0,11694.0,0.966,-2211.4,692401.0,1216984.0,-524582.0,0.6041,0.6204,0.0163,3.34,2.74,0.0757,-0.0033,5.92
9,2026-03-18 09:35:48 EDT,0dte,QQQ,602.15,44,48245.0,41420.0,0.859,-722.46,7519661.0,6666300.0,853360.0,0.3866,0.4712,0.0846,4.93,1.441,-0.0621,-0.0668,6.11
9,2026-03-18 09:35:48 EDT,0dte,SPXW,6698.07,88,40961.0,65475.0,1.598,-158.33,37113062.0,97929968.0,-60816905.0,0.328,0.3672,0.0392,49.05,2.258,0.0802,0.029,2.53
9,2026-03-18 09:35:48 EDT,0dte,SPY,668.79,42,64470.0,74596.0,1.157,-2334.96,9770382.0,10994856.0,-1224474.0,0.3543,0.3571,0.0028,4.96,1.588,0.0172,0.0438,5.7
9,2026-03-18 09:35:48 EDT,0dte,TLT,87.33,10,741.0,386.0,0.521,2240.67,21682.0,11294.0,10387.0,0.2515,0.2523,0.0008,0.41,23.222,-0.0609,-0.1485,5.42
10,2026-03-18 09:36:20 EDT,0dte,IWM,248.0,27,12863.0,13005.0,1.011,-2379.88,639331.0,1389455.0,-750124.0,0.6033,0.618,0.0147,3.3,2.973,-0.4016,-0.1415,5.79
10,2026-03-18 09:36:20 EDT,0dte,QQQ,602.14,42,50128.0,44676.0,0.891,-779.45,7805116.0,7092435.0,712680.0,0.3828,0.3927,0.0098,4.94,1.34,0.1207,0.1782,6.05
10,2026-03-18 09:36:20 EDT,0dte,SPXW,6698.43,92,42714.0,67342.0,1.577,-162.94,37863400.0,101371535.0,-63508135.0,0.3217,0.3798,0.0581,48.7,2.405,-0.2394,-0.1119,2.54
10,2026-03-18 09:36:20 EDT,0dte,SPY,668.76,42,68103.0,77454.0,1.137,-2367.98,10142587.0,11597886.0,-1455298.0,0.3475,0.3554,0.0079,4.97,1.534,-0.3607,-0.1844,5.67
