batch_id,ts,dte_group,symbol,spot,n_contracts,call_vol,put_vol,pc_ratio,net_gex,call_premium,put_premium,net_premium,call_iv,put_iv,iv_skew,atm_straddle,avg_spread_pct,bid_ask_imbalance,trade_aggression,avg_trade_size
1,2026-03-18 12:23:51 EDT,all,IWM,248.04,157,153105.0,431048.0,2.815,-44138.0,14707736.0,42700722.0,-27992987.0,0.388,0.3809,-0.0071,2.37,2.239,-0.1033,0.0237,9.1
1,2026-03-18 12:23:51 EDT,all,QQQ,600.84,316,825100.0,1028773.0,1.247,-6947.18,126166944.0,189541656.0,-63374712.0,0.2671,0.3465,0.0794,3.77,1.434,-0.0487,-0.0074,6.77
1,2026-03-18 12:23:51 EDT,all,SPXW,6683.51,565,376065.0,558168.0,1.484,-467.89,424264530.0,682879315.0,-258614785.0,0.2467,0.2444,-0.0023,36.6,2.132,-0.0892,0.1058,2.66
1,2026-03-18 12:23:51 EDT,all,SPY,667.4,371,1290141.0,1735471.0,1.345,-21322.55,207351236.0,335341788.0,-127990552.0,0.2198,0.4893,0.2695,3.79,1.384,-0.3297,0.0412,6.19
1,2026-03-18 12:23:51 EDT,all,TLT,87.32,56,14173.0,11654.0,0.822,11527.95,378000.0,559867.0,-181867.0,0.1664,0.1829,0.0165,0.37,18.928,0.0504,0.0514,14.83
2,2026-03-18 12:24:21 EDT,all,IWM,248.1,157,153223.0,431148.0,2.814,-44020.27,14986752.0,42290850.0,-27304098.0,0.3847,0.3846,-0.0001,2.37,2.218,0.0718,0.1649,9.09
2,2026-03-18 12:24:21 EDT,all,QQQ,600.77,318,818135.0,1029378.0,1.258,-6958.41,124282801.0,192568731.0,-68285930.0,0.2764,0.3381,0.0617,3.78,1.405,0.0259,-0.1138,6.75
2,2026-03-18 12:24:21 EDT,all,SPXW,6682.78,566,376264.0,560327.0,1.489,-473.79,412768388.0,717398598.0,-304630210.0,0.2417,0.2472,0.0056,36.7,2.351,-0.0434,0.2242,2.66
2,2026-03-18 12:24:21 EDT,all,SPY,667.32,371,1291969.0,1760252.0,1.362,-21470.64,203822310.0,341920991.0,-138098680.0,0.2208,0.4848,0.264,3.79,1.425,-0.077,-0.1341,6.22
2,2026-03-18 12:24:21 EDT,all,TLT,87.33,60,14195.0,12528.0,0.883,9535.0,384518.0,754564.0,-370046.0,0.167,0.2006,0.0336,0.36,18.223,-0.005,-0.1142,14.44
3,2026-03-18 12:24:47 EDT,all,IWM,248.14,155,153330.0,431352.0,2.813,-43978.66,15159222.0,41921759.0,-26762536.0,0.3795,0.3843,0.0049,2.38,2.272,-0.2964,0.414,9.09
3,2026-03-18 12:24:47 EDT,all,QQQ,600.76,318,818422.0,1029832.0,1.258,-7001.87,123800739.0,192310620.0,-68509881.0,0.2766,0.338,0.0615,3.76,1.371,0.0585,-0.0815,6.75
3,2026-03-18 12:24:47 EDT,all,SPXW,6682.35,563,376774.0,572746.0,1.52,-478.46,412115370.0,709577702.0,-297462332.0,0.2463,0.2462,-0.0001,37.0,2.245,-0.0709,0.0473,2.67
3,2026-03-18 12:24:47 EDT,all,SPY,667.31,371,1292442.0,1761302.0,1.363,-21478.99,203381795.0,341966276.0,-138584481.0,0.2206,0.4753,0.2548,3.78,1.397,-0.0058,-0.1704,6.22
3,2026-03-18 12:24:47 EDT,all,TLT,87.34,53,14209.0,11732.0,0.826,11103.81,389236.0,550726.0,-161490.0,0.1685,0.1713,0.0028,0.37,18.84,-0.0037,-0.05,14.79
4,2026-03-18 12:25:16 EDT,all,IWM,248.07,156,153535.0,431456.0,2.81,-44027.33,14834491.0,42582056.0,-27747566.0,0.3869,0.3824,-0.0045,2.36,2.253,-0.2824,-0.075,9.09
4,2026-03-18 12:25:16 EDT,all,QQQ,600.62,316,819403.0,1032090.0,1.26,-7061.16,120762038.0,198489309.0,-77727271.0,0.2987,0.2998,0.0011,3.77,1.445,-0.0288,0.2895,6.75
4,2026-03-18 12:25:16 EDT,all,SPXW,6681.75,565,377031.0,574738.0,1.524,-483.16,402445612.0,730450960.0,-328005348.0,0.2427,0.2487,0.006,36.95,1.99,0.0602,0.1107,2.67
4,2026-03-18 12:25:16 EDT,all,SPY,667.16,363,1294244.0,1763588.0,1.363,-21620.43,198316284.0,351012356.0,-152696072.0,0.2338,0.45,0.2162,3.78,1.522,-0.0587,0.2204,6.22
4,2026-03-18 12:25:16 EDT,all,TLT,87.34,53,14382.0,11732.0,0.816,11208.98,390888.0,549612.0,-158724.0,0.1688,0.1685,-0.0003,0.37,18.751,-0.0429,-0.009,14.84
5,2026-03-18 12:25:42 EDT,all,IWM,247.96,158,153775.0,431771.0,2.808,-44327.95,14368606.0,43856880.0,-29488274.0,0.3869,0.3854,-0.0015,2.36,2.354,0.0071,-0.3523,9.07
5,2026-03-18 12:25:42 EDT,all,QQQ,600.46,306,820290.0,1031943.0,1.258,-7116.79,117122496.0,203232116.0,-86109620.0,0.3139,0.2732,-0.0408,3.83,1.453,-0.1767,-0.2197,6.75
5,2026-03-18 12:25:42 EDT,all,SPXW,6679.9,566,361028.0,576596.0,1.597,-496.06,377278495.0,768230535.0,-390952040.0,0.2429,0.2505,0.0076,36.9,2.208,-0.0247,-0.107,2.66
5,2026-03-18 12:25:42 EDT,all,SPY,667.05,361,1295632.0,1772614.0,1.368,-21568.91,193371943.0,359167150.0,-165795207.0,0.2417,0.4321,0.1904,3.77,1.422,-0.0646,0.1583,6.24
5,2026-03-18 12:25:42 EDT,all,TLT,87.33,51,14414.0,10972.0,0.761,15486.76,398706.0,425858.0,-27152.0,0.1774,0.1607,-0.0166,0.38,19.213,0.0266,0.012,14.93
6,2026-03-18 12:26:09 EDT,all,IWM,248.01,166,153908.0,431895.0,2.806,-43917.38,14649500.0,42970538.0,-28321038.0,0.3855,0.4409,0.0555,2.36,2.252,0.2807,0.0671,9.07
6,2026-03-18 12:26:09 EDT,all,QQQ,600.59,307,820221.0,1033989.0,1.261,-7110.29,119430498.0,198632081.0,-79201584.0,0.2834,0.2842,0.0009,3.75,1.436,-0.047,0.0134,6.75
6,2026-03-18 12:26:09 EDT,all,SPXW,6680.56,565,362406.0,575630.0,1.588,-490.98,392725520.0,736016530.0,-343291010.0,0.2451,0.2467,0.0016,36.55,2.193,-0.0568,0.197,2.66
6,2026-03-18 12:26:09 EDT,all,SPY,667.13,361,1296914.0,1778179.0,1.371,-21645.94,195933406.0,353789884.0,-157856478.0,0.2275,0.4466,0.219,3.75,1.445,0.0469,-0.0825,6.24
6,2026-03-18 12:26:09 EDT,all,TLT,87.33,51,14424.0,10972.0,0.761,15486.56,399122.0,425828.0,-26706.0,0.1769,0.1604,-0.0164,0.38,19.207,-0.0338,0.0089,14.93
