symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,242.0,CALL,0,1,2026-03-18T09:39:30.184,44,6.23,17,6.35,0.9405,-0.9259,0.7893,37.1107,0.0292,-0.3017,125.754,0.6046,2026-03-18T09:39:30.32,2026-03-18T09:39:05.204,6.29,6.29,6.29,6.29,2.0,1.0,2026-03-18T09:39:05.204,6.29,17,2026-03-18 09:39:19 EDT,248.18,0.9750987186719317,-2.4901281328068365,248.0,6.29,0.11999999999999922,1.9077901430842485,147,4.2924,116.0271,136.10729999999998,138.2535,-0.0063,-0.09,0.02
IWM,2026-03-18,242.0,PUT,0,-1,2026-03-18T09:39:30.153,747,0.12,195,0.13,-0.0655,-1.0066,0.8525,-135.1109,0.0305,-0.3049,131.3534,0.625,2026-03-18T09:39:30.32,2026-03-18T09:39:29.794,0.15,0.18,0.12,0.12,398.0,93.0,2026-03-18T09:39:30.724,0.12,17,2026-03-18 09:39:19 EDT,248.18,0.9750987186719317,-2.4901281328068365,248.0,0.125,0.010000000000000009,8.000000000000007,3454,-105.347,-2944.5350000000003,3476.7963999999997,-226.23700000000002,-0.0062,0.0,0.0
IWM,2026-03-18,243.0,CALL,0,1,2026-03-18T09:39:30.184,41,5.33,22,5.41,0.9036,-1.3297,1.14,41.7586,0.0421,-0.3623,151.3268,0.6062,2026-03-18T09:39:30.32,2026-03-18T09:37:11.844,6.05,6.05,5.26,5.36,6.0,4.0,2026-03-18T09:37:11.844,5.36,17,2026-03-18 09:39:19 EDT,248.18,0.9791280522201627,-2.0871947779837243,248.0,5.37,0.08000000000000007,1.4897579143389212,90,3.7889999999999997,102.6,119.67300000000002,81.324,0.0031,-0.085,-0.01
IWM,2026-03-18,243.0,PUT,0,-1,2026-03-18T09:39:30.173,84,0.2,157,0.21,-0.1013,-1.3868,1.1836,-125.327,0.0427,-0.3592,153.5126,0.6203,2026-03-18T09:39:30.32,2026-03-18T09:39:19.49,0.22,0.28,0.19,0.2,778.0,173.0,2026-03-18T09:39:19.49,0.2,17,2026-03-18 09:39:19 EDT,248.18,0.9791280522201627,-2.0871947779837243,248.0,0.20500000000000002,0.009999999999999981,4.878048780487795,8925,-381.0975,-10563.63,12377.19,-904.1025,0.0016,0.01,-0.0
IWM,2026-03-18,244.0,CALL,0,1,2026-03-18T09:39:30.184,40,4.45,17,4.53,0.857,-1.7229,1.507,47.4795,0.0566,-0.3975,163.3673,0.5968,2026-03-18T09:39:30.32,2026-03-18T09:38:08.816,5.0,5.01,4.55,4.55,12.0,6.0,2026-03-18T09:38:08.816,4.55,17,2026-03-18 09:39:19 EDT,248.18,0.9831573857683938,-1.684261423160612,248.0,4.49,0.08000000000000007,1.7817371937639215,92,5.207199999999999,138.64399999999998,158.5068,78.844,-0.0078,-0.08,0.0
IWM,2026-03-18,244.0,PUT,0,-1,2026-03-18T09:39:30.15,72,0.32,125,0.33,-0.1496,-1.8024,1.5544,-116.0589,0.0567,-0.3872,163.7159,0.614,2026-03-18T09:39:30.32,2026-03-18T09:39:28.282,0.36,0.43,0.3,0.32,2785.0,351.0,2026-03-18T09:39:28.282,0.32,17,2026-03-18 09:39:19 EDT,248.18,0.9831573857683938,-1.684261423160612,248.0,0.325,0.010000000000000009,3.0769230769230793,10503,-595.5201,-16325.8632,18930.6072,-1571.2488,-0.0016,0.01,0.0
IWM,2026-03-18,245.0,CALL,0,1,2026-03-18T09:39:30.103,12,3.65,22,3.71,0.7876,-2.2469,1.9369,53.1258,0.0714,-0.3732,156.0253,0.6078,2026-03-18T09:39:30.32,2026-03-18T09:38:39.212,4.16,4.23,3.5,3.5,79.0,26.0,2026-03-18T09:38:39.212,3.5,17,2026-03-18 09:39:19 EDT,248.18,0.987186719316625,-1.2813280683374997,248.0,3.6799999999999997,0.06000000000000005,1.6304347826086973,174,12.4236,337.0206,390.9606,137.0424,0.0008,-0.075,0.01
IWM,2026-03-18,245.0,PUT,0,-1,2026-03-18T09:39:30.114,35,0.5,96,0.51,-0.2134,-2.241,1.9431,-106.132,0.0713,-0.3705,155.7056,0.6109,2026-03-18T09:39:30.32,2026-03-18T09:39:18.997,0.52,0.64,0.44,0.49,3210.0,594.0,2026-03-18T09:39:18.997,0.49,17,2026-03-18 09:39:19 EDT,248.18,0.987186719316625,-1.2813280683374997,248.0,0.505,0.010000000000000009,1.980198019801982,4247,-302.8111,-8252.3457,9517.527,-906.3098,0.0,0.02,0.0
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T09:39:30.152,15,2.92,8,2.94,0.7093,-2.639,2.2883,60.0739,0.0847,-0.3028,125.8748,0.6054,2026-03-18T09:39:30.32,2026-03-18T09:39:09.883,3.34,3.5,2.86,2.98,129.0,35.0,2026-03-18T09:39:09.883,2.98,17,2026-03-18 09:39:19 EDT,248.18,0.9912160528648561,-0.8783947135143874,248.0,2.9299999999999997,0.020000000000000018,0.6825938566552908,243,20.5821,556.0569,641.2769999999999,172.3599,-0.0024,-0.075,-0.01
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T09:39:30.185,18,0.75,41,0.76,-0.2914,-2.6275,2.2909,-96.5341,0.0845,-0.3008,125.517,0.6078,2026-03-18T09:39:30.32,2026-03-18T09:39:29.794,0.8,0.9,0.64,0.75,2317.0,449.0,2026-03-18T09:39:29.794,0.75,17,2026-03-18 09:39:19 EDT,248.18,0.9912160528648561,-0.8783947135143874,248.0,0.755,0.010000000000000009,1.3245033112582794,1601,-135.2845,-3667.7309000000005,4206.6275,-466.53139999999996,0.0016,0.03,0.0
