symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,225.0,CALL,0,1,2026-03-18T16:14:59.909,20,19.26,30,22.5,0.9458,-17.9658,0.2883,11.1237,0.008,-0.0328,746.2011,5.1863,2026-03-18T20:00:00.003,2026-03-18T15:17:41.732,22.69,23.54,21.75,21.83,18.0,18.0,2026-03-18T15:17:41.732,21.83,1,2026-03-18 23:04:24 EDT,245.56,0.916273008633328,-8.372699136667212,246.0,20.880000000000003,3.2399999999999984,15.517241379310335,6,0.048,1.7298,107.79480000000001,5.674799999999999,,,
IWM,2026-03-18,227.5,CALL,0,1,2026-03-18T16:14:59.911,20,16.76,30,20.0,0.9405,-17.3709,0.3102,12.5662,0.0096,-0.0383,781.906,4.6595,2026-03-18T20:00:00.003,2026-03-18T11:39:00.55,20.19,20.79,19.87,20.7,10.0,10.0,2026-03-18T11:39:00.55,20.7,1,2026-03-18 23:04:24 EDT,245.56,0.9264538198403649,-7.354618015963513,246.0,18.380000000000003,3.2399999999999984,17.62785636561479,3,0.0288,0.9305999999999999,52.1127,2.8215,,,
IWM,2026-03-18,230.0,CALL,0,1,2026-03-18T16:14:59.184,20,14.3,30,17.5,0.9313,-17.4649,0.3471,14.3837,0.012,-0.0455,834.9867,4.1873,2026-03-18T20:00:00.003,2026-03-18T15:17:41.732,18.26,18.99,16.81,16.89,348.0,183.0,2026-03-18T15:17:41.732,16.89,1,2026-03-18 23:04:24 EDT,245.56,0.9366346310474019,-6.336536895259816,246.0,15.9,3.1999999999999993,20.125786163522008,3,0.036000000000000004,1.0413000000000001,52.3947,2.7939,,,
IWM,2026-03-18,232.5,CALL,0,1,2026-03-18T16:14:59.952,20,11.76,30,15.0,0.9254,-15.9689,0.3697,16.9835,0.0149,-0.055,866.6774,3.5939,2026-03-18T20:00:00.003,2026-03-18T15:28:55.698,15.83,16.56,13.86,14.09,350.0,185.0,2026-03-18T15:28:55.698,14.09,1,2026-03-18 23:04:24 EDT,245.56,0.9468154422544388,-5.318455774556117,246.0,13.379999999999999,3.24,24.215246636771305,0,0.0,0.0,0.0,0.0,,,
IWM,2026-03-18,235.0,CALL,0,1,2026-03-18T16:14:59.929,20,9.3,30,12.5,0.9107,-15.7456,0.4232,20.5169,0.0198,-0.0684,927.3189,3.0957,2026-03-18T20:00:00.003,2026-03-18T15:45:07.686,13.27,13.86,11.38,11.38,108.0,65.0,2026-03-18T15:45:07.686,11.38,1,2026-03-18 23:04:24 EDT,245.56,0.9569962534614758,-4.30037465385242,246.0,10.9,3.1999999999999993,29.357798165137606,1,0.0198,0.4232,15.7456,0.9107,,,
IWM,2026-03-18,236.0,CALL,0,1,2026-03-18T16:14:59.98,20,8.41,67,11.5,0.8968,-16.8533,0.4709,22.1335,0.0229,-0.0742,968.4103,2.9785,2026-03-18T20:00:00.003,2026-03-18T15:28:26.851,12.56,12.88,10.56,10.59,110.0,93.0,2026-03-18T15:28:26.851,10.59,1,2026-03-18 23:04:24 EDT,245.56,0.9610685779442906,-3.893142205570941,246.0,9.955,3.09,31.039678553490706,1,0.0229,0.4709,16.8533,0.8968,,,
IWM,2026-03-18,237.0,CALL,0,1,2026-03-18T16:14:59.98,20,7.28,67,10.5,0.8999,-14.5115,0.4606,24.8558,0.0255,-0.0839,963.5499,2.621,2026-03-18T20:00:00.003,2026-03-18T14:56:28.914,11.44,11.85,9.68,9.68,123.0,102.0,2026-03-18T14:56:28.914,9.68,1,2026-03-18 23:04:24 EDT,245.56,0.9651409024271054,-3.4859097572894617,246.0,8.89,3.2199999999999998,36.22047244094488,2,0.051,0.9212,29.023,1.7998,,,
IWM,2026-03-18,238.0,CALL,0,1,2026-03-18T16:14:59.991,20,6.31,30,9.5,0.8901,-14.2743,0.4928,27.6695,0.0297,-0.0936,988.3539,2.4101,2026-03-18T20:00:00.003,2026-03-18T15:35:18.62,10.59,10.96,8.53,8.67,134.0,113.0,2026-03-18T15:35:18.62,8.67,1,2026-03-18 23:04:24 EDT,245.56,0.9692132269099202,-3.0786773090079826,246.0,7.904999999999999,3.1900000000000004,40.35420619860848,24,0.7128,11.827200000000001,342.58320000000003,21.3624,,,
IWM,2026-03-18,239.0,CALL,0,1,2026-03-18T16:14:59.994,20,5.32,30,8.5,0.8784,-13.9587,0.5295,31.2199,0.035,-0.1052,1010.9612,2.1933,2026-03-18T20:00:00.003,2026-03-18T15:58:04.342,9.62,9.86,6.89,6.89,200.0,131.0,2026-03-18T15:58:04.342,6.89,1,2026-03-18 23:04:24 EDT,245.56,0.973285551392735,-2.6714448607265036,246.0,6.91,3.1799999999999997,46.020260492040514,36,1.2600000000000002,19.061999999999998,502.5132,31.6224,,,
IWM,2026-03-18,240.0,CALL,0,1,2026-03-18T16:14:59.929,20,4.42,30,7.5,0.856,-14.5727,0.595,35.2738,0.0424,-0.1158,1033.7297,2.038,2026-03-18T20:00:00.003,2026-03-18T15:58:04.342,8.35,8.87,5.9,5.9,121.0,68.0,2026-03-18T15:58:04.342,5.9,1,2026-03-18 23:04:24 EDT,245.56,0.9773578758755498,-2.2642124124450245,246.0,5.96,3.08,51.67785234899329,25,1.06,14.875,364.3175,21.4,,,
