symbol,expiration,strike,right,dte,cp_sign,timestamp,bid,ask,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,endpoint,batch_id,ts,bid_quote,ask_quote,bid_size_quote,ask_size_quote,price_trade,size_trade,volume,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-04-01,180.0,CALL,0,1,2026-04-01T16:14:59.968,68.17,71.28,0.9814,-22.0987,0.1207,3.5114,0.0011,-0.0057,381.721,15.2339,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,68.17,71.28,1,1,71.98,1.0,1.0,249.43,0.7216453514011947,-27.83546485988053,249.0,69.725,3.1099999999999994,4.460380064539261,16,438.99680000000006,193.12,35357.92,1570.24,0.0,0.0,0.0
IWM,2026-04-01,210.0,CALL,0,1,2026-04-01T16:14:58.276,39.67,39.79,0.9686,-20.0632,0.1881,6.0812,0.0029,-0.014,546.0339,8.8794,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,39.67,39.79,6,6,39.77,1.0,1.0,249.43,0.8419195766347272,-15.808042336527283,249.0,39.730000000000004,0.11999999999999744,0.3020387616410708,8,578.6776,150.48,16050.56,774.88,0.0,0.0,0.0
IWM,2026-04-01,212.5,CALL,0,1,2026-04-01T16:14:59.593,35.68,39.5,0.9432,-35.78,0.304,6.2587,0.0043,-0.0171,738.265,9.8023,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,35.68,39.5,7,30,37.32,1.0,1.0,249.43,0.8519424287375216,-14.805757126247848,249.0,37.59,3.8200000000000003,10.162277201383347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWM,2026-04-01,215.0,CALL,0,1,2026-04-01T16:14:59.973,32.71,36.56,0.9737,-14.2605,0.1621,7.0135,0.0031,-0.0154,496.0296,7.3167,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,32.71,36.56,6,6,34.65,1.0,1.0,249.43,0.8619652808403159,-13.80347191596841,249.0,34.635000000000005,3.8500000000000014,11.115923199076082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWM,2026-04-01,217.5,CALL,0,1,2026-04-01T16:14:59.601,30.68,34.5,0.9366,-34.4416,0.3313,7.1685,0.0053,-0.0205,781.0885,8.658,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,30.68,34.5,7,30,32.53,1.0,1.0,249.43,0.8719881329431103,-12.801186705688975,249.0,32.59,3.8200000000000003,11.721386928505677,1,132.1979,33.129999999999995,3444.1600000000003,93.66,0.0,0.0,0.0
IWM,2026-04-01,220.0,CALL,0,1,2026-04-01T16:14:56.481,29.65,31.48,0.9061,-49.6518,0.4463,7.3962,0.0067,-0.022,893.7854,9.267,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,29.65,31.48,6,4,29.93,5.0,5.0,249.43,0.8820109850459046,-11.798901495409536,249.0,30.564999999999998,1.8300000000000018,5.987240307541311,7,1169.8267,312.40999999999997,34756.26,634.27,0.0,0.0,0.0
IWM,2026-04-01,222.5,CALL,0,1,2026-04-01T16:14:59.968,25.68,28.78,0.9575,-18.3265,0.2409,8.7713,0.0053,-0.0236,655.5206,6.3306,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,25.68,28.78,4,4,27.26,1.0,1.0,249.43,0.892033837148699,-10.7966162851301,249.0,27.23,3.1000000000000014,11.384502387073086,2,264.3958,48.18,3665.2999999999997,191.5,0.0,0.0,0.0
IWM,2026-04-01,225.0,CALL,0,1,2026-04-01T16:14:59.937,22.98,26.4,0.9586,-16.0413,0.2359,9.6848,0.0058,-0.0262,649.3277,5.6585,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,22.98,26.4,5,6,24.72,1.0,1.0,249.43,0.9020566892514934,-9.794331074850662,249.0,24.689999999999998,3.419999999999998,13.851761846901573,13,1880.7022,306.67,20853.69,1246.18,0.0,0.0,0.0
IWM,2026-04-01,227.5,CALL,0,1,2026-04-01T16:14:59.985,20.87,23.9,0.9351,-23.5185,0.3373,10.4224,0.0081,-0.0316,805.6672,5.8039,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,20.87,23.9,6,4,22.06,1.0,1.0,249.43,0.9120795413542877,-8.792045864571225,249.0,22.384999999999998,3.0299999999999976,13.535849899486255,8,1616.3064,269.84,18814.8,748.08,0.0,0.0,0.0
IWM,2026-04-01,230.0,CALL,0,1,2026-04-01T16:14:59.018,17.71,21.47,0.965,-10.4987,0.2058,12.2871,0.0068,-0.0321,597.6149,4.2417,2026-04-01T20:00:00.19,greeks,1357,2026-04-01 20:23:30 EDT,17.71,21.47,4,4,19.63,1.0,1.0,249.43,0.9221023934570821,-7.789760654291787,249.0,19.59,3.759999999999998,19.19346605410923,15,2544.1859999999997,308.70000000000005,15748.050000000001,1447.5,0.0,0.0,0.0
