symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-05,215.0,CALL,0,1,2026-03-04T16:14:56.925,30,45.36,20,48.54,0.9492,-1.7219,1.4189,5.2813,0.0032,-0.0665,29.1019,2.3735,2026-03-05T05:36:59.922,,,,,,,,,,1,2026-03-05 05:36:55 EST,261.21,0.8230925309138242,-17.69074690861758,261.0,46.95,3.1799999999999997,6.773162939297124,0.0,0.0,0.0,-0.0,0.0,,,
IWM,2026-03-05,220.0,CALL,0,1,2026-03-04T16:14:56.925,30,40.36,20,43.54,0.9445,-1.6715,1.5231,5.8812,0.0038,-0.0773,30.5762,2.145,2026-03-05T05:36:59.922,2026-03-02T10:51:31.339,42.1,42.1,42.1,42.1,1.0,1.0,2026-03-02T10:51:31.339,42.1,1,2026-03-05 05:36:55 EST,261.21,0.842234217679262,-15.776578232073804,261.0,41.95,3.1799999999999997,7.580452920143026,1.0,0.0038,1.5231,-1.6715,0.9445,,,
IWM,2026-03-05,225.0,CALL,0,1,2026-03-04T16:14:56.926,30,35.36,20,38.54,0.9388,-1.6147,1.6445,6.637,0.0046,-0.0911,32.1824,1.9179,2026-03-05T05:36:59.922,,,,,,,,,,1,2026-03-05 05:36:55 EST,261.21,0.8613759044446997,-13.862409555530025,261.0,36.95,3.1799999999999997,8.606224627875505,0.0,0.0,0.0,-0.0,0.0,,,
IWM,2026-03-05,230.0,CALL,0,1,2026-03-04T16:14:59.639,30,30.51,20,33.54,0.9275,-1.6612,1.8749,7.5667,0.0058,-0.1089,34.7138,1.7311,2026-03-05T05:36:59.922,2026-02-27T11:50:48.459,30.93,30.93,30.93,30.93,3.0,2.0,2026-02-27T11:50:48.459,30.93,1,2026-03-05 05:36:55 EST,261.21,0.8805175912101375,-11.94824087898625,261.0,32.025,3.0299999999999976,9.461358313817323,3.0,0.0174,5.6247,-4.9836,2.7824999999999998,,,
IWM,2026-03-05,235.0,CALL,0,1,2026-03-04T16:14:56.925,30,25.39,20,28.56,0.9213,-1.5119,1.9963,8.9232,0.0073,-0.1328,36.1243,1.4775,2026-03-05T05:36:59.922,2026-03-04T12:41:07.47,26.94,26.94,26.94,26.94,1.0,1.0,2026-03-04T12:41:07.47,26.94,1,2026-03-05 05:36:55 EST,261.21,0.8996592779755753,-10.034072202442472,261.0,26.975,3.169999999999998,11.751621872103794,1.0,0.0073,1.9963,-1.5119,0.9213,,,
IWM,2026-03-05,236.0,CALL,0,1,2026-03-04T16:14:56.925,30,24.38,20,27.54,0.9199,-1.4807,2.0237,9.2561,0.0076,-0.1387,36.425,1.4269,2026-03-05T05:36:59.922,2026-03-04T13:04:34.616,26.77,26.77,25.84,25.84,2.0,2.0,2026-03-04T13:04:34.616,25.84,1,2026-03-05 05:36:55 EST,261.21,0.9034876153286628,-9.651238467133718,261.0,25.96,3.16,12.172573189522343,3.0,0.0228,6.0710999999999995,-4.4421,2.7597,,,
IWM,2026-03-05,237.0,CALL,0,1,2026-03-04T16:14:56.925,30,23.36,20,26.56,0.9176,-1.4652,2.0674,9.6026,0.008,-0.1448,36.8463,1.3818,2026-03-05T05:36:59.922,2026-03-04T13:20:08.509,25.25,25.25,24.39,24.39,6.0,2.0,2026-03-04T13:20:08.509,24.39,1,2026-03-05 05:36:55 EST,261.21,0.9073159526817504,-9.268404731824962,261.0,24.96,3.1999999999999993,12.820512820512816,1.0,0.008,2.0674,-1.4652,0.9176,,,
IWM,2026-03-05,237.5,CALL,0,1,2026-03-04T16:14:56.477,20,22.86,8,25.96,0.92,-1.3847,2.021,9.8453,0.0081,-0.1487,36.5284,1.3346,2026-03-05T05:36:59.922,2026-03-04T13:23:21.21,24.36,24.36,23.76,23.76,2.0,2.0,2026-03-04T13:23:21.21,23.76,1,2026-03-05 05:36:55 EST,261.21,0.9092301213582942,-9.076987864170585,261.0,24.41,3.1000000000000014,12.699713232281857,2.0,0.0162,4.042,-2.7694,1.84,,,
IWM,2026-03-05,238.0,CALL,0,1,2026-03-04T16:14:56.475,20,22.36,8,25.48,0.9181,-1.3905,2.057,10.0264,0.0084,-0.152,36.8522,1.3168,2026-03-05T05:36:59.922,2026-03-04T11:35:04.11,23.86,23.86,23.86,23.86,1.0,1.0,2026-03-04T11:35:04.11,23.86,1,2026-03-05 05:36:55 EST,261.21,0.911144290034838,-8.885570996516206,261.0,23.92,3.120000000000001,13.043478260869568,2.0,0.0168,4.114,-2.781,1.8362,,,
IWM,2026-03-05,239.0,CALL,0,1,2026-03-04T16:14:59.106,1,22.66,1,24.47,0.8759,-2.1768,2.785,9.7112,0.0098,-0.1436,40.5061,1.5322,2026-03-05T05:36:59.922,2026-03-04T15:33:09.531,22.95,23.39,22.95,23.39,4.0,2.0,2026-03-04T15:33:09.531,23.39,1,2026-03-05 05:36:55 EST,261.21,0.9149726273879255,-8.50273726120745,261.0,23.564999999999998,1.8099999999999987,7.6808826649692294,5.0,0.049,13.925,-10.884,4.3795,,,
IWM,2026-03-05,240.0,CALL,0,1,2026-03-04T16:14:54.968,6,21.67,6,21.9,0.9246,-1.1528,1.9331,11.0892,0.009,-0.1689,35.9891,1.1576,2026-03-05T05:36:59.922,2026-03-04T13:47:16.883,21.95,21.95,21.95,21.95,4.0,2.0,2026-03-04T13:47:16.883,21.95,1,2026-03-05 05:36:55 EST,261.21,0.918800964741013,-8.119903525898694,261.0,21.785,0.22999999999999687,1.0557723204039333,2.0,0.018,3.8662,-2.3056,1.8492,,,
IWM,2026-03-05,241.0,CALL,0,1,2026-03-04T16:14:54.935,6,20.67,6,20.9,0.922,-1.1378,1.9822,11.591,0.0096,-0.178,36.4892,1.1138,2026-03-05T05:36:59.922,2026-03-04T15:20:26.842,20.81,21.27,20.81,21.27,2.0,2.0,2026-03-04T15:20:26.842,21.27,1,2026-03-05 05:36:55 EST,261.21,0.9226293020941007,-7.73706979058994,261.0,20.785,0.22999999999999687,1.1065672359874759,3.0,0.0288,5.9466,-3.4133999999999998,2.766,,,
IWM,2026-03-05,242.0,CALL,0,1,2026-03-04T16:14:54.97,5,19.67,6,19.9,0.9192,-1.1243,2.037,12.1384,0.0102,-0.188,37.022,1.0707,2026-03-05T05:36:59.922,2026-03-04T15:32:41.473,19.96,20.35,19.6,20.35,8.0,3.0,2026-03-04T15:32:41.473,20.35,1,2026-03-05 05:36:55 EST,261.21,0.9264576394471882,-7.354236055281184,261.0,19.785,0.22999999999999687,1.162496841041177,1.0,0.0102,2.037,-1.1243,0.9192,,,
IWM,2026-03-05,242.5,CALL,0,1,2026-03-04T16:14:46.901,6,19.17,5,19.4,0.9178,-1.1154,2.0638,12.4345,0.0106,-0.1933,37.2723,1.0484,2026-03-05T05:36:59.922,2026-03-02T15:31:04.061,20.65,20.99,20.65,20.99,2.0,2.0,2026-03-02T15:31:04.061,20.99,1,2026-03-05 05:36:55 EST,261.21,0.928371808123732,-7.162819187626806,261.0,19.285,0.22999999999999687,1.1926367643245883,2.0,0.0212,4.1276,-2.2308,1.8356,,,
IWM,2026-03-05,243.0,CALL,0,1,2026-03-04T16:14:54.983,5,18.67,6,18.9,0.9163,-1.1064,2.091,12.7457,0.011,-0.1988,37.5308,1.0261,2026-03-05T05:36:59.922,2026-03-04T12:00:44.991,16.45,19.06,16.04,19.06,11.0,7.0,2026-03-04T12:00:44.991,19.06,1,2026-03-05 05:36:55 EST,261.21,0.9302859768002757,-6.971402319972429,261.0,18.785,0.22999999999999687,1.2243811551769863,1.0,0.011,2.091,-1.1064,0.9163,,,
IWM,2026-03-05,244.0,CALL,0,1,2026-03-04T16:14:56.454,6,17.67,5,17.91,0.9122,-1.1025,2.1675,13.3951,0.0118,-0.2105,38.1894,0.9863,2026-03-05T05:36:59.922,2026-03-04T13:31:10.654,16.87,18.81,16.46,17.38,10.0,10.0,2026-03-04T13:31:10.654,17.38,1,2026-03-05 05:36:55 EST,261.21,0.9341143141533632,-6.5885685846636735,261.0,17.79,0.23999999999999844,1.349072512647546,2.0,0.0236,4.335,-2.205,1.8244,,,
IWM,2026-03-05,245.0,CALL,0,1,2026-03-04T16:14:54.97,5,16.68,6,16.91,0.9087,-1.0843,2.2318,14.1382,0.0128,-0.2236,38.7274,0.9417,2026-03-05T05:36:59.922,2026-03-04T13:32:11.945,16.4,17.04,16.4,16.55,5.0,5.0,2026-03-04T13:32:11.945,16.55,1,2026-03-05 05:36:55 EST,261.21,0.9379426515064508,-6.205734849354918,261.0,16.795,0.23000000000000043,1.3694551949985139,5.0,0.064,11.158999999999999,-5.4215,4.5435,,,
IWM,2026-03-05,246.0,CALL,0,1,2026-03-04T16:14:59.957,15,14.7,11,17.48,0.8775,-1.4378,2.7597,14.2462,0.0146,-0.2217,41.3922,1.0156,2026-03-05T05:36:59.922,2026-03-04T13:32:11.932,15.72,16.04,15.55,15.55,5.0,4.0,2026-03-04T13:32:11.932,15.55,1,2026-03-05 05:36:55 EST,261.21,0.9417709888595384,-5.822901114046163,261.0,16.09,2.780000000000001,17.277812305779992,2.0,0.0292,5.5194,-2.8756,1.755,,,
IWM,2026-03-05,247.0,CALL,0,1,2026-03-04T16:14:54.968,6,14.68,6,14.91,0.9006,-1.0454,2.3762,15.9064,0.015,-0.2543,39.8269,0.8521,2026-03-05T05:36:59.922,2026-03-04T12:44:17.08,15.12,15.12,14.83,14.83,3.0,3.0,2026-03-04T12:44:17.08,14.83,1,2026-03-05 05:36:55 EST,261.21,0.9455993262126259,-5.440067378737408,261.0,14.795,0.23000000000000043,1.554579249746539,4.0,0.06,9.5048,-4.1816,3.6024,,,
IWM,2026-03-05,248.0,CALL,0,1,2026-03-04T16:14:59.206,9,12.18,9,15.48,0.8915,-1.0744,2.5309,16.8399,0.0166,-0.2696,40.7512,0.8228,2026-03-05T05:36:59.922,2026-03-04T15:47:17.827,11.77,14.76,11.2,14.76,28.0,21.0,2026-03-04T15:47:17.827,14.76,1,2026-03-05 05:36:55 EST,261.21,0.9494276635657135,-5.057233643428651,261.0,13.83,3.3000000000000007,23.861171366594366,5.0,0.083,12.654499999999999,-5.372,4.4575,,,
IWM,2026-03-05,249.0,CALL,0,1,2026-03-04T16:14:56.464,2,12.68,2,12.93,0.8896,-1.013,2.5639,18.1552,0.0181,-0.2919,41.0076,0.7648,2026-03-05T05:36:59.922,2026-03-03T16:12:21.783,10.4,10.47,10.4,10.47,2.0,2.0,2026-03-03T16:12:21.783,10.47,1,2026-03-05 05:36:55 EST,261.21,0.953256000918801,-4.674399908119896,261.0,12.805,0.25,1.952362358453729,5.0,0.09050000000000001,12.8195,-5.0649999999999995,4.4479999999999995,,,
